Essai;Annee;Variete;Creneau;Couverture;Plantation;Duree;N;P;K;Rdt;Poids
1;2005;Fidji;1;1;83;81;72;66;108;291;888
2;2005;Cezanne;1;1;83;81;72;66;108;321;897
3;2004;Cezanne;1;1;88;83;140;164;187;378;731
4;2004;Manta;1;1;88;83;140;164;187;349;743
5;2004;Fidji;1;1;88;83;140;164;187;311;757
6;2004;Theo;1;5;123;63;181;169;200;204;960
7;2004;Metis;1;5;123;63;181;169;200;202;939
8;2004;Escrito;1;5;123;63;181;169;200;214;995
9;2004;Hugo;1;5;123;63;181;169;200;219;1138
10;2004;Anasta;1;5;123;63;181;169;200;206;1149
11;2003;Metis;1;5;131;58;170;66;108;357;1269
12;2003;Theo;1;5;131;58;170;66;108;354;1250
13;2003;Hugo;1;5;131;58;170;66;108;326;1261
14;2003;Escrito;1;5;131;58;170;66;108;292;1086
15;2003;Anasta;1;5;131;58;170;66;108;321;1264
16;2003;Manta;1;1;79;84;168;66;108;403;733
17;2003;Cezanne;1;1;78;84;168;66;108;359;669
18;2003;Cezanne;2;1;97;69;170;66;108;338;776
19;2002;Cezanne;1;1;86;90;97;88;95;272;826
20;2002;Manta;1;1;86;90;97;88;95;292;780
21;2002;Fidji;1;1;86;90;97;88;95;27;906
22;2002;Hugo;1;5;126;83;60;60;85;36;743
23;2002;Fidji;1;5;126;83;60;60;85;403;1000
24;2002;Anasta;1;5;126;83;60;60;85;377;1027
25;2002;Escrito;1;5;126;83;60;60;85;327;937
26;2002;Heliobel;1;5;126;83;60;60;85;381;924
27;2000;Manta;1;1;88;79;158;165;226;;765
28;2000;Cezanne;1;1;88;79;158;165;226;;747
29;1999;Cezanne;1;1;95;78;;;;;849
30;1999;Manta;1;1;95;78;;;;;796
31;1998;Manta;1;1;82;87;;;;248;784
32;1998;Cezanne;1;1;81;87;;;;251;822
33;1996;Manta;1;1;91;70;88;206;120;348;710
34;1996;Cezanne;1;1;91;70;88;206;120;241;715
35;2005;Cezanne;1;1;83;81;72;66;108;30;839
36;2005;Cezanne;1;1;90;77;72;66;108;30;954
37;2005;Cezanne;1;1;90;80;72;66;108;34;993
38;1997;Cezanne;1;1;86;74;;;;269;838
39;1997;Manta;1;1;86;74;;;;247;804
40;1997;Manta;1;1;92;70;;;;215;715
41;1998;Cezanne;1;1;92;87;;;;329;867
42;1998;Cezanne;1;1;92;87;;;;32;946
43;1998;Manta;1;1;82;91;;;;215;735
44;1998;Manta;1;1;83;89;;;;276;799
45;1998;Manta;1;1;83;89;;;;212;750
46;1998;Manta;1;1;83;89;;;;179;764
47;1999;Manta;2;3;107;82;;;;289;982
48;1999;Manta;2;3;107;82;;;;262;1090
49;1999;Manta;2;1;107;82;;;;232;1111
50;1999;Manta;5;3;124;79;96;152;85;226;999
51;1999;Manta;5;3;124;79;86;92;97;223;983
52;1998;Cezanne;3;3;112;75;77;129;190;28;868
53;1999;Cezanne;3;3;118;71;174;158;108;283;771
54;2000;Cezanne;3;3;116;73;93;238;74;334;867
55;2001;Cezanne;3;3;114;78;130;80;100;;915
56;2002;Cezanne;3;3;114;88;77;152;120;316;1084
57;2003;Cezanne;3;3;112;64;72;184;120;389;1053
58;2004;Cezanne;2;1;103;84;117;168;60;44;1105
59;2004;Cezanne;3;3;123;70;117;168;60;393;1218
60;2005;Cezanne;2;1;101;79;117;168;60;395;946
61;2005;Cezanne;3;3;116;72;90;168;60;431;1065
62;2002;Theo;3;3;114;88;77;152;120;336;923
63;2002;Theo;5;5;141;72;120;200;145;269;815
64;2003;Theo;3;3;112;64;72;184;120;329;921
65;2004;Theo;3;3;123;70;117;168;60;331;999
66;2005;Theo;3;3;116;72;90;168;60;39;921
67;1996;Manta;5;5;128;;27;69;;;1076
68;1996;Manta;5;5;149;;27;69;;;787
69;1996;Manta;3;3;111;;27;69;;;815
70;1998;Manta;3;3;112;75;77;129;190;23;791
71;1999;Manta;3;3;118;71;174;158;108;244;718
72;2000;Manta;3;3;116;73;93;238;74;286;753
73;2001;Manta;3;3;114;78;130;80;100;;856
74;2002;Manta;3;3;114;88;77;152;120;338;942
75;2003;Manta;3;3;112;64;72;184;120;323;960
76;2004;Manta;2;1;103;84;117;168;60;419;1156
77;2004;Manta;3;3;123;70;117;168;60;373;1175
78;2005;Manta;2;1;101;79;117;168;60;304;926
79;1998;Escrito;5;5;133;70;77;129;190;235;874
80;1999;Escrito;5;5;137;69;108;158;108;205;901
81;2000;Escrito;5;5;144;68;63;161;70;205;1245
82;2002;Escrito;5;5;141;72;120;200;145;141;887
83;2002;Escrito;6;5;163;67;123;220;145;266;958
