Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 40.07      1.13     1.13     4401     0.26     0.26  integral_normalization(double, int, complex*)
 18.80      1.66     0.53       50    10.60    38.68  optimized_isotopic_distribution(formula*, int)
 12.41      2.01     0.35 81270441     0.00     0.00  add_element(formula*, composition*)
  7.45      2.22     0.21 50929664     0.00     0.00  complex_multiplication(complex, complex)
  4.97      2.36     0.14       50     2.80     3.49  compute_equivalent_peptides()
  3.19      2.45     0.09 24493450     0.00     0.00  add_formula(formula*, formula*)
  2.13      2.51     0.06     4357     0.01     0.01  cft1st(int, double*, double*)
  1.77      2.56     0.05  3615144     0.00     0.00  get_weight(formula*)
  1.77      2.61     0.05        1    50.01   140.65  init_distrib()
  1.42      2.65     0.04   185152     0.00     0.00  get_peptide_sequence(int)
  1.42      2.69     0.04        1    40.00    40.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::sqrt<int>(int)
  0.71      2.71     0.02   806110     0.00     0.00  copy_one_element(element*)
  0.71      2.73     0.02    13071     0.00     0.00  cftmdl(int, int, double*, double*)
  0.71      2.75     0.02     4350     0.00     0.02  cftbsub(int, double*, double*)
  0.71      2.77     0.02     2276     0.01     0.03  new_peptides_with_missed_cleavages(int, int*)
  0.35      2.78     0.01 14103564     0.00     0.00  get_util_formula(char const*)
  0.35      2.79     0.01     4350     0.00     0.00  bitrv2conj(int, int*, double*)
  0.35      2.80     0.01        1    10.00    10.00  get_element_table(char const*, int*)
  0.35      2.81     0.01        1    10.00    10.17  fprintf_ascq_me_results_table_form(_IO_FILE*)
  0.35      2.82     0.01                             get_element(char*, element*, int)
  0.00      2.82     0.00 12184947     0.00     0.00  get_amino_acid(char)
  0.00      2.82     0.00  1858867     0.00     0.00  fusion_peptide(peptide*, peptide*)
  0.00      2.82     0.00  1752319     0.00     0.00  peptide_charge_weight()
  0.00      2.82     0.00   848528     0.00     0.00  compute_correlation(int, complex*)
  0.00      2.82     0.00   806110     0.00     0.00  copy_isotop(isotop*, int)
  0.00      2.82     0.00   806110     0.00     0.00  free_element(element*)
  0.00      2.82     0.00   167913     0.00     0.00  free_peptide(peptide*)
  0.00      2.82     0.00   165836     0.00     0.00  free_composition(composition*, int)
  0.00      2.82     0.00   165741     0.00     0.00  copy_composition(composition*, int)
  0.00      2.82     0.00   163311     0.00     0.00  copy_peptide(peptide*)
  0.00      2.82     0.00   109518     0.00     0.00  copy_formula(formula*)
  0.00      2.82     0.00    83130     0.00     0.00  get_peptide_charge_formula()
  0.00      2.82     0.00    56763     0.00     0.00  is_equivalent_to_another(int)
  0.00      2.82     0.00    28802     0.00     0.00  get_step()
  0.00      2.82     0.00    26366     0.00     0.01  get_peptide_formula_from_index(int)
  0.00      2.82     0.00    21361     0.00     0.00  cpl_isCleavage2(cleavePointList*, char, char, char)
  0.00      2.82     0.00    18899     0.00     0.00  get_atom_quantity(char const*)
  0.00      2.82     0.00    18893     0.00     0.00  get_X_atom(char*)
  0.00      2.82     0.00     4357     0.00     0.03  cdft(int, int, double*, int*, double*)
  0.00      2.82     0.00     3646     0.00     0.00  read_until(_IO_FILE*, char)
  0.00      2.82     0.00     3646     0.00     0.00  jump_blanks(_IO_FILE*)
  0.00      2.82     0.00     2559     0.00     0.00  jump_commentaries(_IO_FILE*, char)
  0.00      2.82     0.00     2297     0.00     0.00  jump_a_line(_IO_FILE*)
  0.00      2.82     0.00      719     0.00     0.00  read_line(_IO_FILE*)
  0.00      2.82     0.00      382     0.00     0.00  get_peptide_score_threshold()
  0.00      2.82     0.00      367     0.00     0.00  is_verbose_mode_activated()
  0.00      2.82     0.00      245     0.00     0.00  affect_atom(char*, int, int, composition*, element*, int)
  0.00      2.82     0.00      139     0.00     0.00  read_formula(char const*, element*, int)
  0.00      2.82     0.00       96     0.00     0.00  free_n_formula(formula*, int)
